organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
Bifidobacterium longum longum JCM 1217	Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	517	1051	845	Eugen Bauer	08/03/14	3	649633019	216816	Kbase	
Bifidobacterium longum longum JDM301	Bifidobacterium longum subsp. longum JDM301 (759350.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	547	1050	850	Ines Thiele	06/25/12	1	646564512	759350	ModelSEED	
Bifidobacterium pseudocatenulatum DSM 20438	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	583	874	722	Ines Thiele	04/20/12	1	2562617145	547043	ModelSEED	
Bilophila wadsworthia 3_1_6	Bilophila wadsworthia 3_1_6 (563192.3)	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Obligate anaerobe	Only anaerobic respiration, nonfermentative, asaccharolytic	Negative	Commensal	879	1111	909	Ines Thiele	06/29/12	1	2562617176	563192	ModelSEED	
Blautia hansenii VPI C7-24, DSM 20583	Blautia hansenii DSM 20583 (537007.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Obligate anaerobe	Saccharolytic, fermentative, hydrogen used as energy source	Positive	Commensal	679	999	787	Ines Thiele	04/20/12	1	2562617096	1322	ModelSEED	
Blautia hydrogenotrophica DSM 10507	Blautia hydrogenotrophica DSM 10507 (476272.5)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Obligate anaerobe	Saccharolytic, fermentative, hydrogen used as energy source	Positive	Commensal	890	1067	868	Ines Thiele	08/06/12	1	643886199	476272	ModelSEED	
Burkholderiales bacterium 1_1_47	Burkholderiales bacterium 1_1_47 (469610.4)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified Burkholderiales	unclassified Burkholderiales	Nanaerobe	Uncharacterized	Uncharacterized	Uncharacterized	617	950	797	Ines Thiele	06/29/12	1	648861006	469610	Kbase	
Butyrivibrio crossotus DSM 2876	Butyrivibrio crossotus DSM 2876 (511680.4)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Obligate anaerobe	Saccharolytic, fermentative	Structurally positive but stains negative	Commensal	568	876	769	Ines Thiele	04/20/12	1	645951834	511680	Kbase	
Butyrivibrio fibrisolvens 16/4	Butyrivibrio fibrisolvens 16/4 (657324.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Obligate anaerobe	Saccharolytic, fermentative, acetate converted to butyrate	Structurally positive but stains negative	Commensal	774	1116	885	Ines Thiele	06/25/12	1	650377919	657324	Kbase	
Campylobacter coli JV20	Campylobacter coli JV20 (864566.3)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	572	996	797	Ines Thiele	06/29/12	1	648276627	864566	ModelSEED	
Campylobacter concisus 13826	Campylobacter concisus 13826 (360104.9)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile/ anaerobe	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	496	1033	816	Eugen Bauer	09/03/14	1	640753009	360104	ModelSEED	
Campylobacter curvus 525.92	Campylobacter curvus 525.92 (360105.8)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile/ anaerobe	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	515	1024	819	Eugen Bauer	08/03/14	1	640753010	360105	ModelSEED	
Campylobacter hominis ATCC BAA-381	Campylobacter hominis ATCC BAA-381 (360107.7)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	470	940	838	Eugen Bauer	09/03/14	1	640753011	360107	ModelSEED	
Campylobacter jejuni jejuni 81-176	Campylobacter jejuni subsp. jejuni 81-176 [WGS] (354242.17)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	523	1057	844	Eugen Bauer	09/03/14	5	641736195	1861812	ModelSEED	
Campylobacter jejuni jejuni ICDCCJ07004	Campylobacter jejuni subsp. jejuni ICDCCJ07004 (1295400.3)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	559	1047	837	Eugen Bauer	09/03/14	5	2551306568	1295400	ModelSEED	
Campylobacter jejuni jejuni M1	Campylobacter jejuni subsp. jejuni M1 (645464.3)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	508	1049	829	Eugen Bauer	08/03/14	5	648231701	645464	ModelSEED	
Campylobacter jejuni jejuni NCTC 11168	Campylobacter jejuni subsp. jejuni NCTC 11168 (192222.6)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	517	1063	844	Eugen Bauer	08/03/14	3	637000055	192222	Kbase	
Campylobacter upsaliensis JV21	Campylobacter upsaliensis JV21 (888826.3)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile	Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used	Negative	Pathogen	525	925	779	Ines Thiele	06/29/12	3	649989919	888826	ModelSEED	
Catenibacterium mitsuokai DSM 15897	Catenibacterium mitsuokai DSM 15897 (451640.5)	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	644	972	823	Ines Thiele	04/20/12	3	643886110	451640	ModelSEED	
Citrobacter koseri ATCC BAA-895	Citrobacter koseri ATCC BAA-895 (290338.8)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Facultative anaerobe	Fermentative or respiratory, citrate and a variety of other compounds used	Negative	Opportunistic pathogen	1234	1742	1139	Eugen Bauer	09/03/14	3	640753015	290338	ModelSEED	
Citrobacter sp. 30_2	Citrobacter sp. 30_2 (469595.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Facultative anaerobe	Fermentative or respiratory, citrate and a variety of other compounds used	Negative	Opportunistic pathogen	1373	1775	1157	Ines Thiele	08/06/12	3	646206256	469595	ModelSEED	
Citrobacter youngae ATCC 29220	Citrobacter youngae ATCC 29220 (500640.5)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Facultative anaerobe	Fermentative or respiratory, citrate and a variety of other compounds used	Negative	Opportunistic pathogen	1373	1775	1157	Ines Thiele	08/06/12	3	2562617093	500640	ModelSEED	
Clostridiales sp. 1_7_47FAA	Clostridiales bacterium 1_7_47FAA (457421.5)	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified Clostridiales	unclassified Clostridiales	Obligate anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	1373	1180	920	Ines Thiele	08/06/12	5	643886007	457421	ModelSEED	
Clostridium asparagiforme DSM 15981	Clostridium asparagiforme DSM 15981 (518636.5)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Obligate anaerobe	Fermentative, few compounds used	Positive	Commensal	1280	1285	965	Ines Thiele	04/20/12	1	643886112	518636	ModelSEED	
Clostridium bartlettii DSM 16795	Clostridium bartlettii DSM 16795 (445973.7)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter	Obligate anaerobe	Ferments carbohydrates and amino acids	Positive	Commensal	730	1095	844	Ines Thiele	04/20/12	5	641736113	445973	ModelSEED	
Clostridium bolteae ATCC BAA-613	Clostridium bolteae ATCC BAA-613 (411902.9)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	1372	1240	957	Ines Thiele	04/20/12	5	641380428	411902	ModelSEED	
Clostridium difficile CD196	Clostridium difficile CD196 (645462.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Obligate anaerobe	Proteolytic, few carbohydrates fermented	Positive	Opportunistic pathogen	889	1365	1004	Eugen Bauer	08/03/14	3	646311914	645462	ModelSEED	
Clostridium difficile NAP07	Clostridium difficile NAP07 (525258.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Obligate anaerobe	Proteolytic, few carbohydrates fermented	Positive	Opportunistic pathogen	918	1273	965	Ines Thiele	06/29/12	3	647000227	525258	ModelSEED	
Clostridium difficile NAP08	Clostridium difficile NAP08 (525259.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Obligate anaerobe	Proteolytic, few carbohydrates fermented	Positive	Opportunistic pathogen	917	1277	969	Ines Thiele	06/29/12	3	647000228	525259	ModelSEED	
Clostridium difficile R20291	Clostridium difficile R20291 (645463.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Obligate anaerobe	Proteolytic, few carbohydrates fermented	Positive	Opportunistic pathogen	883	1352	998	Eugen Bauer	08/03/14	3	646311915	645463	ModelSEED	
Clostridium hiranonis TO-931 DSM 13275	Clostridium hiranonis DSM 13275 (500633.7)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	unclassified Peptostreptococcaceae	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	589	918	804	Ines Thiele	08/06/12	3	642979371	89152	Kbase	
Clostridium hylemonae DSM 15053	Clostridium hylemonae DSM 15053 (553973.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	960	1137	925	Ines Thiele	08/06/12	1	642979359	553973	ModelSEED	
Clostridium leptum DSM 753	Clostridium leptum DSM 753 (428125.8)	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Obligate anaerobe	Few carbohydrates weakly fermented	Positive	Commensal	637	956	806	Ines Thiele	08/06/12	1	641380427	428125	Kbase	
Clostridium methylpentosum R2, DSM 5476	Clostridium methylpentosum DSM 5476 (537013.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Obligate anaerobe	Ferments only L-rhamnose, L-fucose, L-lyxose, and D-arabinose	Positive	Commensal	538	869	747	Ines Thiele	04/20/12	1	643886206	84026	ModelSEED	
Clostridium nexile DSM 1787	Clostridium nexile DSM 1787 (500632.7)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	673	973	793	Ines Thiele	04/20/12	1	642979369	500632	ModelSEED	
Clostridium ramosum VPI 0427, DSM 1402	Clostridium ramosum DSM 1402 (445974.6)	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Positive or negative	Commensal	833	1039	844	Ines Thiele	08/06/12	2	641736198	1547	ModelSEED	
Clostridium scindens ATCC 35704	Clostridium scindens ATCC 35704 (411468.9)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Aerotolerant	Saccharolytic, fermentative	Positive	Commensal	775	1036	853	Ines Thiele	04/20/12	1	641736197	411468	ModelSEED	
Clostridium sp M62/1	Clostridium sp. M62/1 (411486.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Obligate anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	597	871	772	Ines Thiele	08/06/12	2	641380448	411489	ModelSEED	
Clostridium sp. 7_2_43FAA	Clostridium sp. 7_2_43FAA (457396.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Obligate anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	723	986	839	Ines Thiele	08/06/12	2	2562617079	411486	ModelSEED	
Clostridium sp. L2-50	Clostridium sp. L2-50 (411489.7)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Obligate anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	835	1154	893	Ines Thiele	04/20/12	1	646206260	457396	ModelSEED	
Clostridium sp. SS2/1	Clostridium sp. SS2/1 (411484.7)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Obligate anaerobe	Saccharolytic, fermentative, acetate and lactate converted to butyrate	Positive	Commensal	843	1081	902	Ines Thiele	08/06/12	1	641736270	411484	ModelSEED	
Clostridium sp. SY8519	Clostridium sp. SY8519 (1042156.4)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Obligate anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	682	1098	910	Eugen Bauer	08/03/14	2	650716027	1042156	ModelSEED	
Clostridium spiroforme DSM 1552	Clostridium spiroforme DSM 1552 (428126.7)	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	600	937	817	Ines Thiele	08/06/12	1	641736169	428126	ModelSEED	
Clostridium sporogenes ATCC 15579	Clostridium sporogenes ATCC 15579 (471871.7)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Obligate anaerobe	Proteolytic, few carbohydrates fermented	Positive	Opportunistic pathogen	806	1317	972	Eugen Bauer	09/03/14	1	642791615	471871	ModelSEED	
Clostridium symbiosum WAL-14163	Clostridium symbiosum WAL-14163 (742740.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	1051	1157	936	Ines Thiele	08/06/12	1	649989922	742740	ModelSEED	
Clostridium symbiosum WAL-14673	Clostridium symbiosum WAL-14673 (742741.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	1001	1150	934	Ines Thiele	06/29/12	1	649989923	742741	ModelSEED	
Collinsella aerofaciens ATCC 25986	Collinsella aerofaciens ATCC 25986 (411903.6)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	586	862	722	Ines Thiele	04/20/12	1	640612206	411903	ModelSEED	
Collinsella intestinalis DSM 13280	Collinsella intestinalis DSM 13280 (521003.7)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	451	748	639	Ines Thiele	08/06/12	4	2562617146	521003	ModelSEED	
Collinsella stercoris DSM 13279	Collinsella stercoris DSM 13279 (445975.6)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	547	758	635	Ines Thiele	08/06/12	2	642979321	445975	ModelSEED	
Coprobacillus sp. 29_1	Coprobacillus sp. 29_1 (469596.3)	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	838	1035	840	Ines Thiele	06/29/12	4	649989924	469596	ModelSEED	
Coprobacillus sp. D7		Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	771	1013	845	Ines Thiele	04/20/12	1	646206251	556270	ModelSEED	
Coprococcus comes ATCC 27758	Coprococcus comes ATCC 27758 (470146.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	781	1064	873	Ines Thiele	04/20/12	1	643886116	470146	ModelSEED	
Coprococcus eutactus ATCC 27759	Coprococcus eutactus ATCC 27759 (411474.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	646	1003	828	Ines Thiele	04/20/12	5	641380422	411474	ModelSEED	
Desulfovibrio piger ATCC 29098	Desulfovibrio piger ATCC 29098 (411464.8)	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Nanaerobe	Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic	Negative	Commensal	642	977	791	Ines Thiele	08/06/12	5	642979316	411464	ModelSEED	
Desulfovibrio sp. 3_1_syn3	Desulfovibrio sp. 3_1_syn3 (457398.5)	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Nanaerobe	Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic	Negative	Commensal	734	1061	840	Ines Thiele	06/29/12	2	2562617147	457398	ModelSEED	
Dorea longicatena DSM 13814	Dorea longicatena DSM 13814 (411462.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	734	1006	844	Ines Thiele	06/29/12	3	640963046	411462	ModelSEED	
Edwardsiella tarda ATCC 23685	Edwardsiella tarda ATCC 23685 (500638.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella	Facultative anaerobe	Fermentative or respiratory, comparatively few carbohydrates used	Negative	Opportunistic pathogen	1030	1495	1026	Ines Thiele	06/29/12	5	647000237	500638	ModelSEED	
Edwardsiella tarda FL6-60	Edwardsiella tarda FL6-60 (718251.5)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella	Facultative anaerobe	Fermentative or respiratory, comparatively few carbohydrates used	Negative	Opportunistic pathogen	938	1516	1030	Eugen Bauer	09/03/14	1	648231704	718251	ModelSEED	
Eggerthella sp. 1_3_56FAA	Eggerthella sp. 1_3_56FAA (665943.3)	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Nanaerobe	Asaccharolytic	Positive	Commensal	700	947	801	Ines Thiele	06/29/12	1	649989930	665943	ModelSEED	
Eggerthella sp. YY7918	Eggerthella sp. YY7918 (502558.4)	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Nanaerobe	Asaccharolytic	Positive	Commensal	608	993	812	Eugen Bauer	08/03/14	1	650716034	502558	ModelSEED	
Enterobacter cancerogenus ATCC 35316	Enterobacter cancerogenus ATCC 35316 (500639.8)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Facultative anaerobe	Fermentative or respiratory, various carbohydrates used	Negative	Opportunistic pathogen	1273	1704	1124	Ines Thiele	08/06/12	1	2562617148	500639	ModelSEED	
Enterobacteriaceae bacterium 9_2_54FAA	Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified Enterobacteriaceae	Aerobe	Uncharacterized	Uncharacterized	Uncharacterized	1243	1646	1116	Ines Thiele	06/29/12	1	2562617162	469613	ModelSEED	
Enterococcus faecalis OG1RF, ATCC 47077	Enterococcus faecalis OG1RF (474186.5)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	737	1164	866	Eugen Bauer	08/03/14	1	2511231133	474186	Kbase	
Enterococcus faecalis TX0104	Enterococcus faecalis TX0104 (491074.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	798	1121	849	Ines Thiele	04/20/12	1	643886065	491074	Kbase	
Enterococcus faecalis TX1322	Enterococcus faecalis TX1322 (525278.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	831	1127	858	Ines Thiele	09/06/12	5	643886064	525278	Kbase	
Enterococcus faecalis V583	Enterococcus faecalis V583 (226185.9)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	770	1183	885	Eugen Bauer	09/03/14	3	637000101	226185	Kbase	
Enterococcus faecalis TX2134	Enterococcus faecalis TX2134 (749518.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	799	1104	849	Ines Thiele	06/29/12	5	648276641	749518	Kbase	
Enterococcus faecium TX1330	Enterococcus faecium TX1330 (525279.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Probiotic	730	1000	764	Ines Thiele	09/06/12	2	643886120	525279	ModelSEED	
Enterococcus sp. 7L76	Enterococcus sp. 7L76 (657310.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	808	1097	851	Ines Thiele	06/25/12	2	650377930	657310	ModelSEED	
